Index,Model,Family,Line,Platform,OPN Tray,OPN PIB,OPN MPK,Launch Date,# of CPU Cores,# of Threads,# of GPU Cores,Compute Cores,Base Clock,Max Boost Clock ¹ ²,Total L1 Cache,Total L2 Cache,Total L3 Cache,Unlocked,CMOS,Package,Socket Count,PCI Express® Version,Thermal Solution PIB,Thermal Solution MPK,Default TDP / TDP,cTDP,Max Temps,*OS Support,System Memory Specification,System Memory Type,Memory Channels,Graphics Frequency,GPU Base,Graphics Model,Graphics Core Count,Supported Technologies,DisplayPort,HDMI
276,A6-7310 with Radeon R4 Graphics,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,AM7310ITJ44JB,,,,4,4,,,2.0GHz,Up to 2.4GHz,,2MB,,No,28nm,FT3b,,,,,15W,,90°C,,Up to 1866MHz,DDR3L,1,800 MHz,,AMD Radeon™ R4 Graphics,,"Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
277,A6-7310 with Radeon R4 Graphics,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,AM7310JBY44JB,,,,4,4,,,2.0GHz,Up to 2.4GHz,,2MB,,No,28nm,FP4,,,,,15W,,90°C,,Up to 1866MHz,DDR3L,1,800 MHz,,AMD Radeon™ R4 Graphics,,"Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
278,975,AMD Phenom™,AMD Phenom™ II X4 Black,Boxed Processor,HDZ975FBK4DGM,HDZ975FBGMBOX,,,4,4,,,3.6GHz,,512KB,2MB,6MB,Yes,45nm SOI,AM3,,,,,125W,,62°C,,,DDR3,,,,Discrete Graphics Card Required,,,,
279,A6-7000 with Radeon R4 Graphics,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,AM7000ECH23JA,,,,2,2,3,5 (2 CPU + 3 GPU),2.2GHz,Up to 3.0GHz,,1MB,,No,28nm,FT3,,,,,17W,,,,,Not Listed,2,533 MHz,,AMD Radeon™ R4 Graphics,,"Virtualization, AES, Catalyst Software, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
280,965,AMD Phenom™,AMD Phenom™ II X4 Black,Boxed Processor,HDZ965FBK4DGM,HDZ965FBGMBOX,,,4,4,,,3.4GHz,,,2MB,,Yes,,AM3,,,,,80W,,,,,Not Listed,,,,Discrete Graphics Card Required,,,,
281,A6-6310 with Radeon R4 Graphics,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,AM6310ITJ44JB,,,,4,4,,,2.4GHz,,,2MB,,No,28nm,FT3b,,,,,15W,,,,Up to 1865MHz,DDR3L,1,,,AMD Radeon™ R4 Graphics,,"Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
282,960T,AMD Phenom™,AMD Phenom™ II X4 Black,Boxed Processor,HD96ZTWFK4DGR,HD96ZTWFGRBOX,,,4,4,,,3.0GHz,Up to 3.4GHz,512KB,512KB,,Yes,,AM3,,,,,95W,,71°C,,,Not Listed,,,,Discrete Graphics Card Required,,,,
283,850,AMD Phenom™,AMD Phenom™ II X4,Boxed Processor,HDX850WFK42GM,HDX850WFGMBOX,,,4,4,,,3.3GHz,,512KB,2MB,,No,,AM3,,,,,95W,,,,,Not Listed,,,,Discrete Graphics Card Required,,,,
284,A6-5350M with Radeon HD 8450G,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,AM5350DEC23HL,,,,2,2,,,2.9GHz,Up to 3.5GHz,,2MB,,No,32nm,FS1r2,,,,,35W,,,,Up to 1600MHz,DDR3,2,533 MHz,,AMD Radeon™ HD 8450G,,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
285,840,AMD Phenom™,AMD Phenom™ II X4,Boxed Processor,HDX840WFK42GM,HDX840WFGMBOX,,,4,4,,,3.2GHz,,512KB,2MB,,No,,AM3,,,,,95W,,71°C,,,DDR3,,,,Discrete Graphics Card Required,,,,
286,570,AMD Phenom™,AMD Phenom™ II X2 Black,Boxed Processor,HDZ570WFK2DGM,HDZ570WFGMBOX,,,2,2,,,4.0GHz,,,,6MB,Yes,,AM3,,,,,80W,,,,,DDR3,,,,Discrete Graphics Card Required,,,,
287,A6-5200M with Radeon HD 8400,AMD A-Series Processors,AMD A6-Series APU for Laptops,Laptop,AM5200IAJ44HM,,,,4,4,,,2.0GHz,,,2MB,,No,28nm,FT3,,,,,25W,,,,,Not Listed,1,,,AMD Radeon™ HD 8400,,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, AMD PowerTune Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
288,565,AMD Phenom™,AMD Phenom™ II X2 Black,Boxed Processor,HDZ565WFG2DGM,HDZ565WFGMBOX,,,2,2,,,3.4GHz,,0KB,1MB,,Yes,45nm SOI,AM3,,,,,80W,,,,,Not Listed,,,,Discrete Graphics Card Required,,Virtualization,,
289,555,AMD Phenom™,AMD Phenom™ II X2 Black,Boxed Processor,HDZ565WFG2DGM,HDZ555WFGMBOX,,,2,2,,,3.2GHz,,,1MB,,Yes,,AM3,,,,,80W,,,,,Not Listed,,,,Discrete Graphics Card Required,,,,
290,565,AMD Phenom™,AMD Phenom™ II X2,Boxed Processor,HDZ565WFK2DGM,HDZ565WFGMBOX,,,2,2,,,3.4GHz,,256KB,1MB,6MB,Yes,,AM3,,,,,80W,,70°C,,,DDR3,,,,Discrete Graphics Card Required,,,,
291,X940,AMD Phenom™,AMD Phenom™ II Black Edition Quad-Core Mobile Processors,Laptop,HMX940HIR42GM,,,,4,4,,,2.4GHz,,512KB,2MB,,Yes,,S1,,,,,45W,,100°C,,,DDR3,,,,Discrete Graphics Card Required,,,,
292,N970,AMD Phenom™,AMD Phenom™ II Quad-Core Mobile Processors,Laptop,HMN970DCR42GM,,,,4,4,,,2.2GHz,,512KB,2MB,,No,,S1,,,,,35W,,100°C,,,DDR3,,,,Discrete Graphics Card Required,,,,
293,N960,AMD Phenom™,AMD Phenom™ II Quad-Core Mobile Processors,Laptop,HMP960SGR42GM,,,,4,4,,,1.8GHz,,512KB,2MB,,No,,S1,,,,,35W,,100°C,,,DDR3,,,,Discrete Graphics Card Required,,,,
294,N870,AMD Phenom™,AMD Phenom™ II Triple-Core Mobile Processors,Laptop,HMN870DCR32GM,,,,3,3,,,2.3GHz,,384KB,1.5MB,,No,,AM2+,,,,,35W,,100°C,,,DDR3,,,,Discrete Graphics Card Required,,,,
295,P860,AMD Phenom™,AMD Phenom™ II Triple-Core Mobile Processors,Laptop,HMP860SGR32GM,,,,3,3,,,2.0GHz,,384KB,1.5MB,,No,,AM2+,,,,,35W,,100°C,,,DDR3,,,,Discrete Graphics Card Required,,,,
296,A4-7210 with Radeon R3 Graphics,AMD A-Series Processors,AMD A4-Series APU for Laptops,Laptop,AM7210ITJ44JB,,,,4,4,,,1.8GHz,Up to 2.2GHz,,2MB,,No,28nm,FT3b,,,,,65W,,90°C,,Up to 1600MHz,DDR3L,1,686 MHz,,AMD Radeon™ R3 Graphics,,"Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
297,N660,AMD Phenom™,AMD Phenom™ II Dual-Core Mobile Processors,Laptop,HMN660DCR23GM,,,,2,2,,,3.0GHz,,256KB,2MB,,No,,S1,,,,,35W,,100°C,,,DDR3,,,,Discrete Graphics Card Required,,,,
298,A4 Micro-6400T with Radeon R3 Graphics,AMD A-Series Processors,AMD A4-Series APU for Laptops,"Laptop, Tablet",AM640TIVJ44JB,,,,4,4,,,1.6GHz,,,2MB,,No,28nm,FT3b,,,,,4.5W,,,,Up to 1333MHz,DDR3L,1,,,AMD Radeon™ R3 Graphics,,"Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
299,P650,AMD Phenom™,AMD Phenom™ II Dual-Core Mobile Processors,Laptop,HMP650SGR23GM,,,,2,2,,,2.6GHz,,256KB,2MB,,No,,S1,,,,,35W,,100°C,,,DDR3,,,,Discrete Graphics Card Required,,,,
300,N640,AMD Phenom™,AMD Phenom™ II Dual-Core Mobile Processors,Laptop,HMN640DCR23GM,,,,2,2,,,2.8GHz,,256KB,2MB,,No,,S1,,,,,35W,,100°C,,,Not Listed,,,,Discrete Graphics Card Required,,,,
301,A4-6210 with Radeon R3 Graphics,AMD A-Series Processors,AMD A4-Series APU for Laptops,Laptop,AM6210ITJ44JB,,,,4,4,,,1.8GHz,,,2MB,,No,28nm,FT3b,,,,,15W,,,,Up to 1599MHz,DDR3L,1,,,AMD Radeon™ R3 Graphics,,"Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
302,B99,AMD Phenom™,AMD Business Class - AMD Phenom™ X4 Quad-Core,Desktop,HDXB99WFK4DGM,,,,4,4,,,3.3GHz,,,2MB,,No,,AM3,,,,,95W,,,,,Not Listed,,,,Discrete Graphics Card Required,,,,
303,B97,AMD Phenom™,AMD Business Class - AMD Phenom™ X4 Quad-Core,Desktop,HDXB97WFK4DGM,,,,4,4,,,3.2GHz,,,2MB,,No,,AM3,,,,,95W,,,,,Not Listed,,,,Discrete Graphics Card Required,,,,
304,B95,AMD Phenom™,AMD Business Class - AMD Phenom™ X4 Quad-Core,Desktop,HDXB95WFK4DGM,,,,,,,,3.0GHz,,,2MB,,No,,AM3,,,,,95W,,,,,Not Listed,,,,Discrete Graphics Card Required,,,,
305,A4-5100 with Radeon HD 8330,AMD A-Series Processors,AMD A4-Series APU for Laptops,"Laptop, Tablet",AM5100IBJ44HM,,,,4,4,,,1.55GHz,,,2MB,,No,28nm,FT3,,,,,15W,,,,,Not Listed,1,,,AMD Radeon™ HD 8330,,"Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
306,A4-5000 with Radeon HD 8330,AMD A-Series Processors,AMD A4-Series APU for Laptops,"Laptop, Tablet",AM5000IBJ44HM,,,,4,4,,,1.5GHz,,,2MB,,No,28nm,FT3,,,,,15W,,,,,Not Listed,1,,,AMD Radeon™ HD 8330,,"Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
307,B77,AMD Phenom™,AMD Business Class - AMD Phenom™ X3 Triple-Core,Desktop,HDXB77WFK3DGM,,,,3,3,,,3.2GHz,,,1.5MB,,No,,AM3,,,,,95W,,,,,Not Listed,,,,Discrete Graphics Card Required,,,,
308,B75,AMD Phenom™,AMD Business Class - AMD Phenom™ X3 Triple-Core,Desktop,HDXB75WFK3DGM,,,,3,3,,,3.0GHz,,,1.5MB,,No,,AM3,,,,,95W,,,,,Not Listed,,,,Discrete Graphics Card Required,,,,
309,B60,AMD Phenom™,AMD Business Class - AMD Phenom™ X2 Dual-Core,Desktop,HDXB60WFK2DGM,,,,2,2,,,3.5GHz,,,1MB,,No,,AM3,,,,,80W,,,,,Not Listed,,,,Discrete Graphics Card Required,,,,
310,B59,AMD Phenom™,AMD Business Class - AMD Phenom™ X2 Dual-Core,Desktop,HDXB59WFK2DGM,,,,2,2,,,3.4GHz,,,1MB,,No,,AM3,,,,,80W,,,,,Not Listed,,,,Discrete Graphics Card Required,,,,
311,B57,AMD Phenom™,AMD Business Class - AMD Phenom™ X2 Dual-Core,Desktop,HDXB57WFK2DGM,,,,2,2,,,3.2GHz,,,1MB,,No,,AM3,,,,,80W,,,,,Not Listed,,,,Discrete Graphics Card Required,,,,
312,641,AMD Athlon™ Processors,AMD Athlon™ II X4,Boxed Processor,AD641XWNZ43GX,AD641XWNGXBOX,,,4,4,,,2.8GHz,,512KB,4MB,,No,32nm,FM1 uPGA,,Not Listed,,,100W,,70.10°C,,,Not Listed,,,,Discrete Graphics Card Required,,,,
313,638,AMD Athlon™ Processors,AMD Athlon™ II X4,Boxed Processor,AD638XOJZ43GX,AD638XOJGXBOX,,,4,4,,,2.7GHz,,512KB,4MB,,No,32nm,FM1 uPGA,,Not Listed,,,65W,,70.10°C,,,Not Listed,,,,Discrete Graphics Card Required,,,,
314,631,AMD Athlon™ Processors,AMD Athlon™ II X4,Boxed Processor,AD631XWNZ43GX,AD631XWNGXBOX,,,4,4,,,2.6GHz,,,4MB,,No,32nm,FM1 uPGA,,Not Listed,,,100W,,70.10°C,,,Not Listed,,,,Discrete Graphics Card Required,,,,
315,631,AMD Athlon™ Processors,AMD Athlon™ II X4,Boxed Processor,AD631XOJZ43GX,AD631XOJGXBOX,,,4,4,,,2.6GHz,,,4MB,,No,32nm,FM1 uPGA,,Not Listed,,,65W,,,,,Not Listed,,,,Discrete Graphics Card Required,,,,
316,620e,AMD Athlon™ Processors,AMD Athlon™ II X4,Boxed Processor,AD620EHDK42GM,AD620EHDGMBOX,,,4,4,,,2.7GHz,,,,,No,,AM3,,Not Listed,,,45W,,,,,DDR3,,,,Discrete Graphics Card Required,,,,
317,460,AMD Athlon™ Processors,AMD Athlon™ II X3,Boxed Processor,ADX460WFK32GM,ADX460WFGMBOX,,,3,3,,,3.4GHz,,384KB,1.5MB,,No,,AM3,,Not Listed,,,95W,,75°C,,,DDR3,,,,Discrete Graphics Card Required,,,,
318,425e,AMD Athlon™ Processors,AMD Athlon™ II X3,Boxed Processor,AD425EHDK32GM,AD425EHDGMBOX,,,3,3,,,2.7GHz,,384KB,1.5MB,,No,,AM3,,Not Listed,,,45W,,,,,DDR3,,,,Discrete Graphics Card Required,,,,
319,A10-8700P with Radeon R6 Graphics,AMD A-Series Processors,AMD A10-Series APU for AIOs,All-in-One,AM870PAAY43KAD,,,,4,4,6,10 (4 CPU + 6 GPU),1.8GHz,Up to 3.2GHz,,2MB,,No,28nm,FP4,,,,,,,90°C,,Up to 2133MHz,DDR3,2,800 MHz,,AMD Radeon™ R6 Graphics,,"Virtualization, AES, Catalyst Software, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
320,255e,AMD Athlon™ Processors,AMD Athlon™ II X2,Boxed Processor,AD255EHDK23GM,AD255EHDGMBOX,,,2,2,,,3.1GHz,,256KB,2MB,,No,,AM3,,Not Listed,,,45W,,72°C,,,DDR3,,,,Discrete Graphics Card Required,,,,
321,7th Gen AMD Athlon X4 970,AMD Athlon™ Processors,AMD Athlon™ X4,Boxed Processor,AD970XAUM44AB,AD970XAUABBOX,,7/27/2017,4,4,,,3.8GHz,Up to 4.0GHz,,2MB,,Yes,28nm,AM4,,PCIe 3.0,,,65W,,,,Up to 2400MHz,DDR4,,,,Discrete Graphics Card Required,,,,
322,A8-8600P with Radeon R6 Graphics,AMD A-Series Processors,AMD A8-Series APU for AIOs,All-in-One,AM860PAAY43KAD,,,,4,4,6,10 (4 CPU + 6 GPU),1.6GHz,Up to 3.0GHz,,2MB,,No,28nm,FP4,,,,,,,90°C,,Up to 2133MHz,DDR3,2,720 MHz,,AMD Radeon™ R6 Graphics,,"Virtualization, AES, Catalyst Software, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
323,7th Gen AMD Athlon X4 950,AMD Athlon™ Processors,AMD Athlon™ X4,Boxed Processor,AD950XAGM44AB,AD950XAGABBOX,,7/27/2017,4,4,,,3.5GHz,Up to 3.8GHz,,2MB,,Yes,28nm,AM4,,PCIe 3.0,,,,45/65W,,,Up to 2400MHz,DDR4,,,,Discrete Graphics Card Required,,,,
324,A8-6410 with Radeon R5 Graphics,AMD A-Series Processors,AMD A8-Series APU for AIOs,All-in-One,AM7410JBY44JBD,,,,4,4,,,2.2GHz,Up to 2.5GHz,,2MB,,No,28nm,FT3b,,,,,,,90°C,,Up to 1866MHz,DDR3L,1,847 MHz,,AMD Radeon™ R5 Graphics,,"Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
325,7th Gen AMD Athlon X4 940,AMD Athlon™ Processors,AMD Athlon™ X4,Boxed Processor,AD940XAGM44AB,AD940XAGABBOX,,7/27/2017,4,4,,,3.2GHz,Up to 3.6GHz,,2MB,,Yes,28nm,AM4,,PCIe 3.0,,,,45/65W,,,Up to 2400MHz,DDR4,,,,Discrete Graphics Card Required,,,,
326,A6-8500P with Radeon R5 Graphics,AMD A-Series Processors,AMD A6-Series APU for AIOs,All-in-One,AM850PAAY23KAD,,,,2,2,4,6 (2 CPU + 4 GPU),1.6GHz,Up to 3.0GHz,,1MB,,No,28nm,FP4,,,,,,,90°C,,,Not Listed,2,800 MHz,,AMD Radeon™ R5 Graphics,,"Virtualization, AES, Catalyst Software, AMD FreeSync™ Technology, AMD Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
327,880K with Near Silent Thermal Solution,AMD Athlon™ Processors,AMD Athlon™ X4,Boxed Processor,,AD880KXBJCSBX,,,4,,,,4.0GHz,Up to 4.2GHz,256KB,4MB,,Yes,28nm,FM2+,,,Near Silent 125W,,95W,,72.40°C,,Up to 2133MHz,DDR3,2,,,Discrete Graphics Card Required,,"AES, AVX, FMA4",,
328,A6-7310 with Radeon R4 Graphics,AMD A-Series Processors,AMD A6-Series APU for AIOs,All-in-One,AM7310JBY44JBD,,,,4,4,,,2.0GHz,Up to 2.4GHz,,2MB,,No,28nm,FP4,,,,,,,90°C,,Up to 1866MHz,DDR3L,1,800 MHz,,AMD Radeon™ R4 Graphics,,"Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
329,870K with Near Silent Thermal Solution,AMD Athlon™ Processors,AMD Athlon™ X4,Boxed Processor,,AD870KXBJCSBX,,,4,4,,,3.9GHz,Up to 4.1GHz,128KB,4MB,,Yes,28nm,FM2+,,PCIe 3.0,Near Silent 95W,,95W,,72.40°C,,Up to 2133MHz,DDR3,2,,,Discrete Graphics Card Required,,"AES, AVX, FMA4",,
330,A4-7210 with Radeon R3 Graphics,AMD A-Series Processors,AMD A4-Series APU for AIOs,All-in-One,AM7210JBY44JBD,,,,4,4,,,1.8GHz,Up to 2.2GHz,,2MB,,No,28nm,FP4,,,,,65W,,90°C,,Up to 1600MHz,DDR3L,1,686 MHz,,AMD Radeon™ R3 Graphics,,"Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
331,860K,AMD Athlon™ Processors,AMD Athlon™ X4,Desktop,AD860KXBI44JA,,,,4,4,,,3.7GHz,Up to 4.0GHz,128KB,4MB,,Yes,28nm,FM2+,,PCIe 3.0,,,95W,,72.40°C,,Up to 2133MHz,DDR3,2,,,Discrete Graphics Card Required,,"AES, AVX, FMA4",,
332,A10-6800B with Radeon HD 8670D,AMD A-Series Processors,AMD Business Class - Quad-Core A10-Series APU for Desktops,Desktop,AD680BWOA44HL,,,,4,4,,,4.1GHz,Up to 4.4GHz,192KB,4MB,,No,32nm SOI,FM2,,,,,45W,,74°C,,Up to 2133MHz,DDR3,2,844 MHz,,AMD Radeon™ HD 8670D,384,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
333,860K with Near Silent Thermal Solution,AMD Athlon™ Processors,AMD Athlon™ X4,Boxed Processor,,AD860KXBJASBX,,,4,4,,,3.7GHz,Up to 4.0GHz,128KB,4MB,,Yes,28nm,FM2+,,PCIe 3.0,Near Silent 95W,,95W,,72.40°C,,Up to 2133MHz,DDR3,2,,,Discrete Graphics Card Required,,"AES, AVX, FMA4",,
334,A10-6790B with Radeon HD 8670D,AMD A-Series Processors,AMD Business Class - Quad-Core A10-Series APU for Desktops,Desktop,AD679BWOA44HL,,,,4,4,,,4.0GHz,Up to 4.3GHz,192KB,4MB,,No,32nm SOI,FM2,,,,,45W,,74°C,,Up to 1866MHz,DDR3,2,844 MHz,,AMD Radeon™ HD 8670D,384,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
335,845 with Near Silent Thermal Solution,AMD Athlon™ Processors,AMD Athlon™ X4,Boxed Processor,,AD845XACKASBX,,,4,4,,,3.5GHz,Up to 3.8GHz,,2MB,,No,28nm,FM2+,,PCIe 3.0,Near Silent 95W,,,,71.30°C,,Up to 2133MHz,DDR3,2,,,Discrete Graphics Card Required,,"AES, AVX, FMA4",,
336,A8-6500B with Radeon HD 8570D,AMD A-Series Processors,AMD Business Class - Quad-Core A8-Series APU for Desktops,Desktop,AD650BOKA44HL,,,,4,4,,,3.5GHz,Up to 4.1GHz,192KB,4MB,,No,32nm SOI,FM2,,,,,65W,,71.30°C,,Up to 1866MHz,DDR3,2,800 MHz,,AMD Radeon™ HD 8570D,256,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
337,760K,AMD Athlon™ Processors,AMD Athlon™ X4,Boxed Processor,AD760KWOA44HL,AD760KWOHLBOX,,,4,4,,,3.8GHz,Up to 4.1GHz,,4MB,,Yes,32nm,FM2,,Not Listed,,,100W,,,,,Not Listed,,,,Discrete Graphics Card Required,,,,
338,750,AMD Athlon™ Processors,AMD Athlon™ X4,Boxed Processor,AD750XOKA44HL,AD750KWOHJBOX,,,4,,,,3.4GHz,Up to 4.0GHz,192KB,4MB,,No,,FM2,,,,,65W,,71.30°C,,Up to 1866MHz,DDR3,2,,,Discrete Graphics Card Required,,"AVX, FMA4",,
339,A6-6420B with Radeon HD 8470D,AMD A-Series Processors,AMD Business Class - Dual-Core A6-Series APU for Desktops,Desktop,AD642BOKA23HL,,,,2,2,,,4.0GHz,Up to 4.2GHz,96KB,1MB,,No,32nm SOI,FM2,,,,,65W,,70°C,,Up to 1866MHz,DDR3,2,800 MHz,,AMD Radeon™ HD 8470D,192,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, RAID Support, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
