Index,Index,UserID,gameRating,desktopRating,workRating,CPU,CPURating,GPU,GPURating,GPUType,CPUType
656,666,36293270,44%,79%,40%,AMD Ryzen 5 3400G,70.70%,Nvidia GTX 1060-6GB,54.30%,Nvidia,AMD
657,667,36293280,18%,94%,17%,Intel Core i7-9700K,104.60%,Nvidia GTX 1080-Ti,7%,Nvidia,Intel
658,668,36293281,27%,93%,27%,AMD Ryzen 9 4900HS,88.20%,AMD Radeon Graphics,19.90%,AMD,AMD
659,669,36293282,46%,89%,39%,Intel Core i7-4790K,85.50%,Nvidia GTX 970,49.50%,Nvidia,Intel
660,670,36293288,23%,81%,20%,Intel Core i7-1165G7,73.20%,Intel Iris Xe,21.60%,Intel,Intel
661,671,36293299,10%,72%,9%,Intel Core i7-8750H,67.60%,Intel UHD Graphics 630,6.80%,Intel,Intel
662,672,36293304,263%,104%,268%,Intel Core i9-9900K,102.80%,Nvidia RTX 3090,264.10%,Nvidia,Intel
663,673,36293309,19%,77%,17%,AMD Ryzen 5 3400G,72.60%,AMD Radeon RX Vega 11 Graphics,17.40%,AMD,AMD
664,674,36293310,53%,95%,50%,AMD Ryzen 5 3600X,87%,AMD RX 580,51.80%,AMD,AMD
665,675,36293312,25%,93%,23%,Intel Core i7-1165G7,81.70%,Intel Iris Xe,17.70%,Intel,Intel
666,676,36293317,201%,96%,191%,Intel Core i7-9700K,98%,Nvidia RTX 3080,212.30%,Nvidia,Intel
667,677,36293321,95%,91%,98%,AMD Ryzen 7 3700X,91.40%,AMD RX 5700-XT,102.50%,AMD,AMD
668,678,36293323,48%,84%,43%,AMD Ryzen 3 3100,77.20%,Nvidia GTX 1060-6GB,55.30%,Nvidia,AMD
669,679,36293326,52%,103%,56%,Intel Core i9-10900K,101%,Nvidia GTX Titan,45.70%,Nvidia,Intel
670,680,36293328,38%,78%,33%,Intel Core i7-9750H,73%,Nvidia GTX 1660-Ti (Mobile),43%,Nvidia,Intel
671,681,36293333,11%,74%,10%,Intel Core i3-7100,74%,Intel HD 630 (Desktop Kaby Lake),4.70%,Intel,Intel
672,682,36293345,98%,95%,92%,AMD Ryzen 5 3600,92.10%,AMD RX 5700-XT,102.50%,AMD,AMD
673,683,36293349,79%,92%,74%,Intel Core i7-9700K,99.80%,Nvidia RTX 2060S (Super),82.40%,Nvidia,Intel
674,684,36293350,11%,54%,10%,AMD Ryzen 7 3700U,53.80%,AMD Radeon RX Vega 10 Graphics,2.50%,AMD,AMD
675,685,36293352,23%,76%,22%,AMD Ryzen 5 1600,71.40%,AMD RX 560,21.40%,AMD,AMD
676,686,36293358,82%,95%,80%,Intel Core i7-5960X,94.40%,Nvidia GTX Titan X,81%,Nvidia,Intel
677,687,36293359,78%,85%,83%,AMD Ryzen 7 3700X,78.30%,Nvidia RTX 2070,99.20%,Nvidia,AMD
678,688,36293362,110%,96%,95%,AMD Ryzen 7 3800X 8-Core,90.80%,Nvidia GTX 1080,117.50%,Nvidia,AMD
679,689,36293364,25%,88%,23%,AMD Ryzen 5 3400G,77.10%,AMD Radeon RX Vega 11 Graphics,18.20%,AMD,AMD
680,690,36293365,33%,86%,28%,Intel Core i7-4770,83.90%,Nvidia GTX 770,34.20%,Nvidia,Intel
681,691,36293366,155%,93%,157%,AMD Ryzen 7 3700X,83.50%,Nvidia RTX 3070,187.10%,Nvidia,AMD
682,692,36293371,91%,90%,86%,AMD Ryzen 5 3600,88%,Nvidia RTX 2060,101%,Nvidia,AMD
683,693,36293376,43%,80%,36%,Intel Core i7-4770K,74.10%,Nvidia GTX 1060-6GB,54%,Nvidia,Intel
684,694,36293380,37%,75%,30%,Intel Core i7-3770,72.10%,Nvidia GTX 1060-6GB,51.30%,Nvidia,Intel
685,695,36293387,186%,101%,192%,Intel Core i7-10700K,101.70%,Nvidia RTX 3080,186.20%,Nvidia,Intel
686,696,36293390,111%,93%,104%,AMD Ryzen 5 3600,89.20%,Nvidia RTX 2070S (Super),122.10%,Nvidia,AMD
687,697,36293392,95%,92%,88%,AMD Ryzen 5 3600X,91.50%,Nvidia RTX 2060S (Super),100.30%,Nvidia,AMD
688,698,36293394,83%,89%,82%,AMD Ryzen 7 2700X,85.80%,Nvidia RTX 2070,91.30%,Nvidia,AMD
689,699,36293396,21%,75%,19%,AMD Ryzen 5 2600,76.30%,Nvidia GTX 1050-Ti,27.40%,Nvidia,AMD
690,700,36293398,6%,25%,6%,AMD Ryzen 7 3750H,7.80%,Nvidia GTX 1660-Ti (Mobile Max-Q),34.50%,Nvidia,AMD
691,701,36293399,10%,70%,9%,Intel Core i7-8750H,58.50%,Intel UHD Graphics 630,6.50%,Intel,Intel
692,702,36293402,73%,89%,69%,AMD Ryzen 5 3600,85.30%,Nvidia GTX 1070,79.70%,Nvidia,AMD
693,703,36293404,90%,94%,85%,AMD Ryzen 5 3600X,90.10%,AMD RX 5600-XT,96.40%,AMD,AMD
694,704,36293407,29%,81%,26%,AMD Ryzen 5 2400G,76.10%,Nvidia GTX 1660,29.30%,Nvidia,AMD
695,705,36293475,114%,83%,87%,Intel Core i5-3570,76.50%,Nvidia RTX 2080,151.70%,Nvidia,Intel
696,706,36293478,81%,108%,82%,AMD Ryzen 7 5800X,103.50%,Nvidia RTX 2070S (Super),72%,Nvidia,AMD
697,707,36293484,39%,79%,32%,Intel Core i7-2600,73.50%,Nvidia GTX 1060-3GB,49.10%,Nvidia,Intel
698,708,36293489,53%,90%,45%,Intel Core i5-8500,93.10%,AMD RX 580,53.20%,AMD,Intel
699,709,36293490,102%,96%,87%,Intel Core i7-6700K,90.40%,Nvidia GTX 1080,108.10%,Nvidia,Intel
700,710,36293493,72%,83%,56%,Intel Core i5-4670K,78.80%,AMD RX 5600-XT,88.40%,AMD,Intel
701,711,36293495,123%,95%,120%,Intel Core i9-9900K,84.90%,Nvidia RTX 3060-Ti,145.10%,Nvidia,Intel
702,712,36293496,195%,91%,236%,AMD Ryzen TR 1950X,86.60%,Nvidia RTX 3090,229.10%,Nvidia,AMD
703,713,36293500,113%,95%,107%,AMD Ryzen 5 3600,88.60%,Nvidia GTX 1080-Ti,124.40%,Nvidia,AMD
704,714,36293501,132%,91%,128%,AMD Ryzen 5 5600X,79.90%,Nvidia RTX 3070,165.60%,Nvidia,AMD
705,715,36293504,46%,97%,43%,Intel Core i7-9700K,97.20%,AMD Radeon RX480,42.50%,AMD,Intel
706,716,36293506,100%,82%,83%,Intel Core i7-4770K,77.40%,Nvidia GTX 1080-Ti,132.10%,Nvidia,Intel
707,717,36293509,8%,39%,8%,AMD Ryzen 7 3700U,35.10%,AMD Radeon RX Vega 10 Graphics,6.70%,AMD,AMD
708,718,36293510,83%,93%,102%,AMD Ryzen 9 3950X,96.20%,AMD RX 5600-XT,84.20%,AMD,AMD
709,719,36293516,25%,71%,21%,AMD FX-8370,65.60%,Nvidia GTX 960,32.90%,Nvidia,AMD
710,720,36293517,109%,83%,128%,AMD Ryzen 9 3900X,83.30%,Nvidia GTX 1080-Ti,131.20%,Nvidia,AMD
711,721,36293521,9%,66%,8%,Intel Core i3-8100,70.30%,Intel UHD Graphics 630 (Desktop Coffee Lake i3),5.10%,Intel,Intel
712,722,36293524,48%,85%,43%,AMD Ryzen 5 2600,82.70%,AMD RX 580,53.90%,AMD,AMD
713,723,36293525,56%,88%,47%,Intel Core i7-6700K,84%,Nvidia GTX 1650S (Super),62%,Nvidia,Intel
714,724,36293527,45%,87%,36%,Intel Core i3-9100F,81.50%,AMD RX 580,50.10%,AMD,Intel
715,725,36293528,39%,76%,30%,Intel Core i5-3570,71.20%,AMD RX 580,53.70%,AMD,Intel
716,726,36293535,71%,98%,65%,Intel Core i7-9700F,95.60%,Nvidia GTX 1660S (Super),72.70%,Nvidia,Intel
717,727,36293537,34%,90%,31%,Intel Xeon E-2176M,86.70%,Nvidia Quadro P2000,31.70%,Nvidia,Intel
718,728,36293539,51%,96%,51%,AMD Ryzen 7 3700X,90.90%,AMD RX 580,47.10%,AMD,AMD
719,729,36293545,66%,72%,66%,AMD Ryzen 7 2700,65.60%,Nvidia GTX 1080,101.30%,Nvidia,AMD
720,730,36293554,123%,108%,106%,Intel Core i7-8700K,105.60%,Nvidia GTX 1080,113.40%,Nvidia,Intel
721,731,36293556,86%,90%,86%,AMD Ryzen 7 2700X,88.10%,Nvidia RTX 2070,92.20%,Nvidia,AMD
722,732,36293557,53%,82%,47%,AMD Ryzen 3 3100,80.40%,Nvidia GTX 1650S (Super),62.90%,Nvidia,AMD
723,733,36293559,16%,74%,15%,AMD Ryzen 5 4500U,75.10%,AMD Radeon Graphics,12.10%,AMD,AMD
724,734,36293561,76%,100%,70%,Intel Core i7-5820K,96.30%,Nvidia GTX 1660S (Super),75%,Nvidia,Intel
725,735,36293563,81%,99%,81%,AMD Ryzen 7 3700X,94.80%,Nvidia GTX 1660-Ti,80%,Nvidia,AMD
726,736,36293566,73%,87%,62%,Intel Core i7-4770K,83.50%,Nvidia GTX 1070,85.80%,Nvidia,Intel
727,737,36293568,10%,68%,9%,Intel Core i7-4700MQ,65.50%,Nvidia GeForce GT 750M,6%,Nvidia,Intel
728,738,36293571,122%,93%,112%,Intel Core i7-8700K,91.30%,Nvidia RTX 2080,134%,Nvidia,Intel
729,739,36293573,105%,92%,78%,Intel Core i7-4790K,72.20%,Nvidia GTX 1080-Ti,144.70%,Nvidia,Intel
730,740,36293577,13%,69%,11%,AMD Ryzen 3 3200G,73.70%,AMD Radeon Vega 8 Graphics,12.80%,AMD,AMD
731,741,36293578,76%,81%,70%,AMD Ryzen 5 1600,76.60%,AMD RX 5600-XT,92.70%,AMD,AMD
732,742,36293580,62%,86%,52%,Intel Core i7-6700K,85.90%,Nvidia GTX 1660,74.50%,Nvidia,Intel
733,743,36293585,19%,93%,19%,Intel Core i9-10900,101.80%,AMD HD 5770,11.40%,AMD,Intel
734,744,36293586,126%,102%,132%,Intel Core i7-10700K,98.40%,Nvidia RTX 2080,131.30%,Nvidia,Intel
735,745,36293590,75%,89%,70%,Intel Core i7-8700,85.20%,Nvidia RTX 2070,86%,Nvidia,Intel
736,746,36293605,136%,84%,128%,AMD Ryzen 5 3600,83.30%,Nvidia RTX 3070,166.90%,Nvidia,AMD
737,747,36293607,43%,96%,39%,Intel Core i7-9850H,88.50%,Nvidia Quadro T2000,40.50%,Nvidia,Intel
738,748,36293609,82%,87%,76%,AMD Ryzen 5 2600X,81.30%,Nvidia RTX 2060,93.70%,Nvidia,AMD
739,749,36293614,37%,57%,28%,AMD Ryzen 7 3700X,46%,AMD RX 5700-XT,77.30%,AMD,AMD
740,750,36293616,12%,70%,11%,Intel Core i5-1135G7,61%,Intel Iris Xe,12%,Intel,Intel
741,751,36293621,84%,101%,72%,Intel Core i5-9600K,96.90%,Nvidia RTX 2060,80.90%,Nvidia,Intel
742,752,36293622,7%,59%,6%,Intel Core i7-4712HQ,61.10%,Intel HD 4600 (Mobile 1.15 GHz),2.50%,Intel,Intel
743,753,36293626,183%,108%,172%,AMD Ryzen 5 5600X,106.50%,Nvidia RTX 3070,173.60%,Nvidia,AMD
744,754,36293628,105%,90%,99%,AMD Ryzen 5 3600,86%,AMD RX 5700-XT,119.10%,AMD,AMD
745,755,36293638,8%,62%,7%,Intel Core i5-4300M,61.50%,Intel HD 4600 (Mobile 1.15 GHz),3.30%,Intel,Intel
746,756,36293640,44%,89%,37%,Intel Core i5-9600K,94.80%,AMD RX 570,47.40%,AMD,Intel
747,757,36293643,84%,88%,107%,AMD Ryzen 9 3950X,82.70%,Nvidia RTX 2080,96%,Nvidia,AMD
748,758,36293648,59%,84%,54%,AMD Ryzen 5 2600,82.40%,Nvidia GTX 1660-Ti,69.60%,Nvidia,AMD
749,759,36293650,114%,107%,109%,AMD Ryzen 5 5600X,98.50%,Nvidia GTX 1080,111.60%,Nvidia,AMD
750,760,36293657,10%,75%,11%,AMD Ryzen 7 2700X,83%,AMD R9 Fury,7.40%,AMD,AMD
751,761,36293668,53%,92%,50%,Intel Core i7-9700K,94%,AMD RX 580,52.10%,AMD,Intel
752,762,36293669,81%,100%,74%,Intel Core i7-5820K,97%,Nvidia GTX 1660S (Super),79.60%,Nvidia,Intel
753,763,36293672,133%,96%,113%,Intel Core i5-9600K,96.60%,Nvidia RTX 3060-Ti,136%,Nvidia,Intel
754,764,36293673,73%,92%,57%,Intel Core i5-4690K,87.70%,Nvidia GTX 1070,79.90%,Nvidia,Intel
755,765,36293674,55%,83%,56%,AMD Ryzen 7 1700X,79.30%,AMD RX 580,60.50%,AMD,AMD
756,766,36293682,40%,76%,36%,AMD Ryzen 5 2400G,73.30%,Nvidia GTX 1650,45.90%,Nvidia,AMD
757,767,36293687,14%,72%,13%,AMD Ryzen 7 3750H,67.80%,AMD Radeon RX Vega 10 Graphics,13.40%,AMD,AMD
758,768,36293688,70%,85%,64%,AMD Ryzen 5 2600,81.90%,Nvidia GTX 1070,78.50%,Nvidia,AMD
759,769,36293692,184%,89%,154%,Intel Core i7-6700K,83.90%,Nvidia RTX 3080,226%,Nvidia,Intel
760,770,36293698,58%,100%,56%,AMD Ryzen 5 3600XT,90.70%,Nvidia GTX 1060-6GB,55.60%,Nvidia,AMD
761,771,36293713,113%,106%,115%,Intel Core i9-9900K,102.90%,Nvidia RTX 2060S (Super),106%,Nvidia,Intel
762,772,36293718,24%,64%,24%,AMD Ryzen 5 2600,54.40%,Nvidia RTX 2060S (Super),42.60%,Nvidia,AMD
763,773,36293720,15%,58%,11%,AMD Phenom II X4 840,56.10%,AMD HD 7870,28.50%,AMD,AMD
764,774,36293722,2%,22%,2%,Intel Core i5-2430M,17.90%,Nvidia GeForce 410M,1.50%,Nvidia,Intel
765,775,36293724,49%,80%,42%,Intel Core i7-9750H,72.20%,Nvidia RTX 2060 (Mobile),66.10%,Nvidia,Intel
766,776,36293728,38%,104%,37%,Intel Core i7-10700K,100.30%,Nvidia GTX 1050-Ti,28.80%,Nvidia,Intel
767,777,36293729,128%,101%,127%,Intel Core i9-9900K,98.40%,Nvidia RTX 2070S (Super),128.80%,Nvidia,Intel
768,778,36293731,12%,63%,12%,Intel Xeon E5-2670,68%,Nvidia Quadro FX 3800,6.80%,Nvidia,Intel
769,779,36293735,4%,53%,3%,Intel Core i3-2120,56.20%,Nvidia GeForce GT 520,1.90%,Nvidia,Intel
770,780,36293738,69%,91%,69%,AMD Ryzen 7 3700X,91.40%,Nvidia GTX 1660S (Super),71.20%,Nvidia,AMD
771,781,36293742,9%,81%,8%,Intel Core i5-9600K,94.40%,AMD RX 570,6.80%,AMD,Intel
772,782,36293745,62%,84%,58%,AMD Ryzen 5 2600X,78.70%,Nvidia GTX 1660,70.90%,Nvidia,AMD
773,783,36293748,56%,84%,56%,AMD Ryzen 7 1700X,80%,AMD RX 580,60.70%,AMD,AMD
774,784,36293751,167%,103%,169%,Intel Core i7-10700KF,101.10%,Nvidia RTX 3070,168.20%,Nvidia,Intel
775,785,36293752,45%,82%,45%,AMD Ryzen 7 2700X,79.90%,AMD RX 580,49.90%,AMD,AMD
776,786,36293753,114%,86%,89%,Intel Core i5-7500,78.70%,Nvidia RTX 3060-Ti,143.60%,Nvidia,Intel
777,787,36293754,61%,87%,55%,Intel Core i7-8750H,83.20%,Intel UHD Graphics 630,7%,Intel,Intel
778,788,36293759,45%,77%,44%,AMD Ryzen 5 2600,69.20%,AMD RX 580,58.30%,AMD,AMD
779,789,36293762,37%,85%,32%,Intel Core i5-10300H,77.10%,Nvidia GTX 1650-Ti (Mobile),44.60%,Nvidia,Intel
780,790,36293764,127%,102%,132%,Intel Core i7-10700K,99.90%,Nvidia RTX 2080,131.20%,Nvidia,Intel
781,791,36293765,33%,89%,28%,Intel Core i5-8300H,86.80%,Nvidia GTX 1050-Ti (Mobile),32.90%,Nvidia,Intel
782,792,36293768,0%,33%,0%,Intel Celeron N4020,32.40%,Intel UHD Graphics 600,1.50%,Intel,Intel
783,793,36293777,101%,94%,85%,Intel Core i7-6700K,86.60%,Nvidia RTX 3080,114.40%,Nvidia,Intel
784,794,36293782,73%,96%,68%,AMD Ryzen 5 3600,90%,Nvidia GTX 1660S (Super),74.90%,Nvidia,AMD
785,795,36293783,103%,97%,95%,Intel Core i7-8700,97%,Nvidia GTX 1080,102.50%,Nvidia,Intel
786,796,36293786,82%,96%,69%,Intel Core i3-10100,90.30%,Nvidia GTX 1070,84.40%,Nvidia,Intel
787,797,36293788,170%,89%,198%,AMD Ryzen 9 3900X,82.20%,Nvidia RTX 3080,211.20%,Nvidia,AMD
788,798,36293789,7%,59%,6%,Intel Core i5-8250U,61%,Intel UHD Graphics 620 (Mobile Kaby Lake R),4.50%,Intel,Intel
789,799,36293791,59%,96%,57%,Intel Core i7-9700K,98.10%,AMD RX 580,56.60%,AMD,Intel
790,800,36293796,3%,64%,3%,Intel Core i5-4440,76.40%,Intel HD 4600 (Desktop 1.25 GHz),2.90%,Intel,Intel
791,801,36293802,54%,92%,49%,Intel Core i7-8700,89%,Nvidia GTX 1650S (Super),55.90%,Nvidia,Intel
792,802,36293804,61%,89%,57%,Intel Core i7-9700,89.10%,Nvidia GTX 1660-Ti,67.90%,Nvidia,Intel
793,803,36293809,62%,86%,52%,Intel Core i7-6700K,86.10%,Nvidia GTX 1660,74.30%,Nvidia,Intel
794,804,36293811,7%,77%,6%,Intel Core i3-10110U,69.80%,Nvidia GeForce MX250,15.10%,Nvidia,Intel
795,805,36293814,45%,88%,39%,Intel Core i3-10100,82.70%,AMD RX 580,52.70%,AMD,Intel
796,806,36293819,20%,73%,16%,Intel Core i5-7300HQ,70.50%,Nvidia GTX 1050 (Mobile),23.60%,Nvidia,Intel
797,807,36293822,222%,104%,251%,AMD Ryzen 9 5900X,99.30%,Nvidia RTX 3080,228.70%,Nvidia,AMD
798,808,36293823,86%,97%,74%,Intel Core i5-9600KF,98.50%,Nvidia GTX 1070,83.40%,Nvidia,Intel
799,809,36293834,69%,85%,63%,AMD Ryzen 5 2600,81.90%,Nvidia GTX 1070,76.80%,Nvidia,AMD
800,810,36293844,20%,74%,18%,AMD Ryzen 7 3750H,64.30%,AMD Radeon RX Vega 10 Graphics,17.80%,AMD,AMD
801,811,36293849,127%,96%,141%,AMD Ryzen 9 3900X,96.20%,Nvidia RTX 2070S (Super),130%,Nvidia,AMD
802,812,36293852,247%,109%,281%,AMD Ryzen 9 5900X,104.70%,Nvidia RTX 3080,242.80%,Nvidia,AMD
803,813,36293853,2%,48%,2%,Intel Core i3-4030U,51.80%,Intel HD 4400 (Mobile 1.0/1.1 GHz),2.10%,Intel,Intel
804,814,36293858,66%,103%,66%,Intel Core i7-10700K,102.90%,Nvidia GTX 1060-6GB,58%,Nvidia,Intel
805,815,36293861,70%,73%,60%,AMD FX-8350,68.60%,Nvidia GTX 1080,102.30%,Nvidia,AMD
806,816,36293864,7%,48%,7%,Intel Core i7-10510U,47.40%,Intel UHD Graphics,4.60%,Intel,Intel
807,817,36293872,176%,102%,199%,AMD Ryzen 9 3900X,98%,Nvidia RTX 2080-Ti,180.80%,Nvidia,AMD
808,818,36293875,43%,79%,38%,Intel Core i7-6700,67.70%,Nvidia GTX 1060-6GB,56.20%,Nvidia,Intel
809,819,36293876,73%,90%,72%,AMD Ryzen 7 3700X,77.80%,AMD RX 5600-XT,87.10%,AMD,AMD
810,820,36293877,87%,86%,90%,AMD Ryzen 7 3700X,79.50%,Nvidia RTX 2070S (Super),109%,Nvidia,AMD
811,821,36293881,212%,101%,233%,Intel Core i9-10850K,98.30%,Nvidia RTX 3080,222.60%,Nvidia,Intel
812,822,36293885,123%,87%,125%,AMD Ryzen 7 3700X,85.10%,Nvidia RTX 3060-Ti,146.90%,Nvidia,AMD
813,823,36293887,66%,93%,60%,Intel Core i7-9750H,89.10%,Nvidia GTX 1660-Ti (Mobile),68.50%,Nvidia,Intel
814,824,36293894,164%,104%,170%,AMD Ryzen 7 5800X,94.40%,Nvidia RTX 3070,174.80%,Nvidia,AMD
815,825,36293896,131%,100%,125%,Intel Core i7-9700K,100.80%,Nvidia RTX 2070S (Super),128.70%,Nvidia,Intel
816,826,36293897,121%,87%,117%,AMD Ryzen 5 3600,82.30%,Nvidia RTX 3070,148.10%,Nvidia,AMD
817,827,36293898,7%,49%,7%,Intel Core i3-5005U,48.20%,Intel HD 5500 (Mobile 0.95 GHz),3.40%,Intel,Intel
818,828,36293902,156%,98%,166%,AMD Ryzen 7 5800X,90.90%,Nvidia RTX 2080-Ti,175.80%,Nvidia,AMD
819,829,36293907,9%,65%,8%,Intel Core i7-4700MQ,65.50%,Nvidia GeForce GT 750M,6.10%,Nvidia,Intel
820,830,36293910,74%,94%,70%,Intel Core i7-9700,96.30%,Nvidia GTX 1660-Ti,76.20%,Nvidia,Intel
821,831,36293914,31%,83%,30%,AMD Ryzen 5 3600,78.70%,Nvidia GTX 960,33%,Nvidia,AMD
822,832,36293916,118%,86%,101%,AMD Ryzen 5 3400G,79.60%,Nvidia RTX 3060-Ti,145.40%,Nvidia,AMD
823,833,36293920,94%,101%,90%,Intel Core i7-9700K,103.10%,Nvidia GTX 1080,87.40%,Nvidia,Intel
824,834,36293921,0%,34%,0%,Intel Core i3-2310M,52.60%,Intel HD 3000 (Mobile V1 1.1/1.2 GHz),0.90%,Intel,Intel
825,835,36293959,0%,33%,0%,Intel Pentium E5800,33.80%,Intel G41 Express Chipset,0.30%,Intel,Intel
826,836,36293962,74%,96%,65%,Intel Core i7-9750H,88.50%,Nvidia GTX 1660-Ti (Mobile),77.60%,Nvidia,Intel
827,837,36293964,16%,83%,16%,Intel Core i7-10750H,82.60%,Intel UHD Graphics,9.90%,Intel,Intel
828,838,36293965,48%,73%,37%,Intel Core i7-4770,62.60%,Nvidia GTX 1070,73.30%,Nvidia,Intel
829,839,36293968,56%,93%,48%,Intel Core i5-8600K,92.70%,Nvidia GeForce GTX 1060 6GB,54.40%,Nvidia,Intel
830,840,36293970,38%,76%,35%,AMD Ryzen 5 2600,68.20%,AMD RX 580,47.70%,AMD,AMD
831,841,36293971,99%,89%,118%,AMD Ryzen 9 3900X,82.90%,Nvidia RTX 2070S (Super),116.40%,Nvidia,AMD
832,842,36293974,125%,107%,124%,Intel Core i9-10900K,104.10%,Nvidia RTX 2070S (Super),116.70%,Nvidia,Intel
833,843,36293975,1%,37%,1%,Intel Pentium Dual E2160,39%,Nvidia GeForce GT 710,4%,Nvidia,Intel
834,844,36293987,119%,94%,113%,AMD Ryzen 5 3600X,93.50%,Nvidia RTX 2070S (Super),125.40%,Nvidia,AMD
835,845,36293989,73%,95%,67%,Intel Core i7-8700K,95.50%,Nvidia GTX 1070,77.10%,Nvidia,Intel
836,846,36293991,161%,95%,161%,AMD Ryzen 7 3700X,94.70%,Nvidia RTX 2080-Ti,172.20%,Nvidia,AMD
837,847,36293992,99%,95%,91%,Intel Core i7-8700K,90.10%,AMD RX 5700-XT,108.20%,AMD,Intel
838,848,36293996,61%,87%,51%,Intel Core i5-9600K,85.10%,Nvidia GTX 1660-Ti,69%,Nvidia,Intel
839,849,36293998,46%,90%,46%,AMD Ryzen 7 3700X,90.60%,Nvidia GTX 1650,44.60%,Nvidia,AMD
840,850,36294001,47%,80%,44%,AMD Ryzen 5 1600,73.40%,Nvidia GTX 1060-6GB,55.30%,Nvidia,AMD
841,851,36294002,90%,94%,103%,AMD Ryzen 9 3900X,91.90%,AMD RX Vega-56,92.90%,AMD,AMD
842,852,36294007,116%,91%,119%,AMD Ryzen 7 3700X,90.40%,Nvidia RTX 2070S (Super),128.10%,Nvidia,AMD
843,853,36294009,8%,61%,8%,Intel Core i5-7200U,62.80%,Intel HD 620 (Mobile Kaby Lake),4.80%,Intel,Intel
844,854,36294012,100%,92%,92%,AMD Ryzen 5 3600,92.60%,AMD RX 5700-XT,104.30%,AMD,AMD
845,855,36294017,9%,71%,9%,Intel Core i5-9300H,72.90%,Intel UHD Graphics 630,6.10%,Intel,Intel
846,856,36294027,99%,100%,95%,Intel Core i7-9700K,103.40%,Nvidia GTX 1080,92.60%,Nvidia,Intel
847,857,36294032,100%,96%,93%,AMD Ryzen 5 3600,92.10%,AMD RX 5700-XT,104.80%,AMD,AMD
848,858,36294033,112%,96%,108%,AMD Ryzen 5 5600X,93.80%,Nvidia RTX 2070S (Super),121.30%,Nvidia,AMD
849,859,36294037,76%,95%,64%,Intel Core i5-9600K,95%,Nvidia GTX 1070,75.60%,Nvidia,Intel
850,860,36294043,63%,91%,64%,AMD Ryzen 7 3700X,88.60%,Nvidia GTX 1660-Ti,65.80%,Nvidia,AMD
851,861,36294044,203%,102%,225%,Intel Core i9-10850K,98.40%,Nvidia RTX 3080,211.10%,Nvidia,Intel
852,862,36294045,199%,108%,260%,AMD Ryzen 9 5950X,105.40%,Nvidia RTX 3090,191.60%,Nvidia,AMD
853,863,36294047,89%,85%,84%,AMD Ryzen 5 3600,82.10%,AMD RX 5700-XT,107.10%,AMD,AMD
854,864,36294051,103%,95%,103%,AMD Ryzen 7 3700X,88.50%,Nvidia RTX 3070,113.70%,Nvidia,AMD
855,865,36294060,50%,87%,48%,AMD Ryzen 5 3600,83.40%,AMD RX 590,53.30%,AMD,AMD
856,866,36294062,87%,95%,80%,Intel Core i7-8700,89.80%,Nvidia GTX 1070-Ti,94.10%,Nvidia,Intel
857,867,36294065,48%,82%,49%,AMD Ryzen 7 2700X,80.70%,AMD RX 580,53.70%,AMD,AMD
858,868,36294067,270%,106%,263%,Intel Core i9-9900K,101.30%,Nvidia RTX 3090,275.10%,Nvidia,Intel
859,869,36294070,49%,86%,38%,Intel Core i3-7100,74.40%,AMD RX 480,59.10%,AMD,Intel
860,870,36294079,97%,95%,99%,AMD Ryzen 7 3800X,91.10%,AMD RX 5700-XT,104.50%,AMD,AMD
861,871,36294086,36%,73%,28%,Intel Core i5-3330,71%,Nvidia GTX 1060-3GB,50.60%,Nvidia,Intel
862,872,36294087,12%,57%,12%,AMD Ryzen 5 4500U,69.30%,AMD Radeon Graphics,5.90%,AMD,AMD
863,873,36294095,29%,57%,21%,AMD A10-7860K APU (2014 D.Ka),50.30%,Nvidia GTX 1650S (Super),60.10%,Nvidia,AMD
864,874,36294099,45%,91%,43%,AMD Ryzen 5 3600,87.70%,Nvidia GTX 1660S (Super),46.40%,Nvidia,AMD
865,875,36294102,26%,82%,26%,AMD Ryzen 7 3700X,77%,AMD RX 6800-XT,26.70%,AMD,AMD
866,876,36294104,40%,78%,33%,Intel Xeon X5687,74%,Nvidia GTX 1060-3GB,50.80%,Nvidia,Intel
867,877,36294107,96%,87%,93%,AMD Ryzen 5 3600,78.60%,AMD RX 5700-XT,117.60%,AMD,AMD
868,878,36294112,22%,67%,20%,AMD Ryzen 5 1500X,65.30%,Nvidia GTX 1050-Ti,28.90%,Nvidia,AMD
869,879,36294114,144%,104%,144%,Intel Core i9-9900K,100.10%,Nvidia RTX 2080S (Super),142.90%,Nvidia,Intel
870,880,36294119,6%,57%,5%,Intel Core i7-6500U,56.50%,Intel HD 520 (Mobile Skylake),4.70%,Intel,Intel
871,881,36294120,127%,104%,122%,Intel Core i7-9700K,100.90%,Nvidia RTX 2070S (Super),123.30%,Nvidia,Intel
872,882,36294122,68%,91%,54%,Intel Core i5-7600K,83.90%,Nvidia GTX 1070,76.20%,Nvidia,Intel
873,883,36294125,2%,34%,2%,AMD Sempron X2 190,32.20%,Nvidia Quadro FX 5600,5.60%,Nvidia,AMD
874,884,36294127,43%,75%,39%,AMD Ryzen 5 3550H,62.20%,Nvidia GTX 1660-Ti (Mobile Max-Q),62.50%,Nvidia,AMD
875,885,36294129,50%,84%,40%,Intel Core i5-6600K,79.80%,Nvidia GTX 1060-6GB,58.10%,Nvidia,Intel
