Index,Index,UserID,gameRating,desktopRating,workRating,CPU,CPURating,GPU,GPURating,GPUType,CPUType
177,179,36282822,80%,101%,69%,Intel Core i7-6700K,94%,Nvidia GTX 1070,78.50%,Nvidia,Intel
178,180,36282826,4%,28%,4%,Intel Core i7-2670QM,29.30%,Intel HD 3000 (Mobile V1 1.1/1.2 GHz),0.90%,Intel,Intel
179,181,36282832,149%,98%,139%,AMD Ryzen 5 3600,93.10%,Nvidia RTX 3070,159.60%,Nvidia,AMD
180,182,36282837,162%,96%,146%,Intel Core i5-10400,87%,Nvidia RTX 3080,186.10%,Nvidia,Intel
181,183,36282842,138%,97%,140%,AMD Ryzen 7 3800X,91.40%,Nvidia RTX 3060-Ti,149.80%,Nvidia,AMD
182,184,36282845,84%,91%,67%,Intel Core i3-9100F,83.20%,Nvidia RTX 2060,97%,Nvidia,Intel
183,185,36282853,3%,46%,3%,Intel Core i5-5300U,49.40%,Intel HD 5500 (Mobile 0.95 GHz),3.80%,Intel,Intel
184,186,36282859,78%,95%,68%,Intel Core i7-9700F,90.80%,Nvidia GTX 1070,83.50%,Nvidia,Intel
185,187,36282865,205%,89%,205%,AMD Ryzen 7 2700X,88.30%,Nvidia RTX 3080,237.90%,Nvidia,AMD
186,188,36282868,158%,81%,183%,AMD Ryzen 9 3900 12-Core,72.70%,Nvidia RTX 3080,220.60%,Nvidia,AMD
187,189,36282870,39%,68%,32%,AMD FX-8350,66.60%,Nvidia GeForce GTX 1060 6GB,58.50%,Nvidia,AMD
188,190,36282885,83%,97%,78%,AMD Ryzen 5 3600,97.90%,Nvidia GTX 1660S (Super),81.30%,Nvidia,AMD
189,191,36282888,121%,96%,113%,AMD Ryzen 5 3600,88.60%,Nvidia RTX 2070S (Super),134%,Nvidia,AMD
190,192,36282889,22%,74%,19%,AMD Athlon 3000G,61.60%,AMD Radeon RX 560-B,21.50%,AMD,AMD
191,193,36284437,17%,79%,14%,Intel Core i7-3770K,79.40%,Nvidia GTX 660,18.70%,Nvidia,Intel
192,194,36284444,21%,92%,20%,Intel Core i7-1165G7,78.80%,Intel Iris Xe,20.80%,Intel,Intel
193,195,36284453,12%,61%,10%,AMD Athlon II X4 860K,54.50%,AMD R7 360,17.90%,AMD,AMD
194,196,36284456,12%,73%,11%,Intel Core i7-8550U,70.10%,Intel UHD Graphics 620 (Mobile Kaby Lake R),5.70%,Intel,Intel
195,197,36284459,135%,95%,137%,AMD Ryzen 7 3800X,95.10%,Nvidia RTX 2080S (Super),142.60%,Nvidia,AMD
196,198,36284462,88%,90%,82%,AMD Ryzen 5 3600X,88.40%,Nvidia RTX 2060,95.90%,Nvidia,AMD
197,199,36284467,30%,83%,26%,Intel Core i7-7700HQ,76.70%,Nvidia GTX 1050-Ti (Mobile),30.20%,Nvidia,Intel
